場所,In101 エボラ出血熱,In102 クリミア・コンゴ出血熱,In103 痘そう,In104 南米出血熱,In105 ペスト,In106 マールブルグ病,In107 ラッサ熱,In201 急性灰白髄炎,In202 結　核,In203 ジフテリア,In204 重症急性呼吸器症候群（病原体がベータコロナウイルス属ＳＡＲＳコロナウイルスであるものに限る。）,In205 鳥インフルエンザ（特定鳥インフルエンザ（Ｈ５Ｎ１）に限る。）,In206 鳥インフルエンザ（特定鳥インフルエンザ（Ｈ７Ｎ９）に限る。）,In207 中東呼吸器症候群(病原体がベータコロナウイルス属ＭＥＲＳコロナウイルスであるものに限る。),In301 コレラ,In302 細菌性赤痢,In303 腸管出血性大腸菌感染症,In304 腸チフス,In305 パラチフス,In401 Ｅ型肝炎,In402 ウエストナイル熱,In403 Ａ型肝炎,In404 エキノコックス症,In405 黄　熱,In406 オウム病,In407 オムスク出血熱,In408 回帰熱,In409 キャサヌル森林病,In410 Ｑ　熱,In411 狂犬病,In412 コクシジオイデス症,In413 サル痘,In414 腎症候性出血熱,In415 西部ウマ脳炎,In416 ダニ媒介脳炎,In417 炭　疽,In418 つつが虫病,In419 デング熱,In420 東部ウマ脳炎,In421 鳥インフルエンザ（特定鳥インフルエンザを除く。）,In422 ニパウイルス感染症,In423 日本紅斑熱,In424 日本脳炎,In425 ハンタウイルス肺症候群,In426 Ｂウイルス病,In427 鼻　疽,In428 ブルセラ症,In429 ベネズエラウマ脳炎,In430 ヘンドラウイルス感染症,In431 発しんチフス,In432 ボツリヌス症(乳児ボツリヌス症除く),In433 乳児ボツリヌス症,In434 マラリア,In435 野兎病,In436 ライム病,In437 リッサウイルス感染症,In438 リフトバレー熱,In439 類鼻疽,In440 レジオネラ症,In441 レプトスピラ症,In442 ロッキー山紅斑熱,In443 チクングニア熱,In444 重症熱性血小板減少症候群（病原体がフレボウイルス属ＳＦＴＳウイルスであるものに限る｡）,In445 ジカウイルス感染症,In501 アメーバ赤痢,In502 ＲＳウイルス感染症,In503 咽頭結膜熱,In504 インフルエンザ（鳥インフルエンザ及び新型インフルエンザ等感染症を除く。）,In505 急性ウイルス性肝炎（Ｅ型肝炎及びＡ型肝炎を除く。）,In506 Ａ群溶血性連鎖球菌咽頭炎,In507 感染性胃腸炎,In508 急性出血性結膜炎,In509 急性脳炎（ウエストナイル脳炎、西部ウマ脳炎、ダニ媒介脳炎、東部ウマ脳炎、日本脳炎、ベネズエラウマ脳炎及びリフトバレー熱を除く。）,In510 クラミジア肺炎（オウム病を除く。）,In511 クリプトスポリジウム症,In512 クロイツフェルト・ヤコブ病,In513 劇症型溶血性連鎖球菌感染症,In514 後天性免疫不全症候群,In515 細菌性髄膜炎（侵襲性インフルエンザ菌感染症、侵襲性髄膜炎菌感染症、侵襲性肺炎球菌感染症を除く。）,In516 ジアルジア症,In517 水　痘,In518 侵襲性髄膜炎菌感染症,In519 性器クラミジア感染症,In520 性器ヘルぺスウイルス感染症,In521 尖圭コンジローマ,In522 先天性風しん症候群,In523 手足口病,In524 伝染性紅斑,In525 突発性発しん,In526 梅　毒,In527 破傷風,In528 バンコマイシン耐性黄色ブドウ球菌感染症,In529 バンコマイシン耐性腸球菌感染症,In530 百日咳,In531 風しん,In532 ペニシリン耐性肺炎球菌感染症,In533 ヘルパンギーナ,In534 マイコプラズマ肺炎,In535 麻しん,In537 無菌性髄膜炎,In538 メチシリン耐性黄色ブドウ球菌感染症,In539 薬剤耐性緑膿菌感染症,In540 流行性角結膜炎,In541 流行性耳下腺炎,In542 淋菌感染症,In543 薬剤耐性アシネトバクター感染症,In544 侵襲性インフルエンザ菌感染症,In545 侵襲性肺炎球菌感染症,In546 カルバペネム耐性腸内細菌科細菌感染症,In547 播種性クリプトコックス症,In548 急性弛緩性麻痺（15歳未満発症）,In601 新型インフルエンザ等感染症,新型コロナウイルス感染症
　　全　国　　,-,-,-,-,-,-,-,-,186,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,3,-,1,-,-,3,12,-,159,-,8,-,-,31,3,1,17,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,36,1,-,-,-,-,-,1,-,4,-,-,192
０１北海道　　,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,10,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,4
０２青　森　　,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
０３岩　手　　,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
０４宮　城　　,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
０５秋　田　　,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-
０６山　形　　,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,2,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
０７福　島　　,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
０８茨　城　　,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
０９栃　木　　,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1
